Booking_Key,FK_Customer_Key,FK_Date_Key,FK_Movies_Key,FK_Theater_Key,FK_PromoCode_Key,Sales,TicketsSold,CancelledAmount,CancelledQuantity,PromoCodeValue,Customer_Key,Name,Address,City,Zip,State,Country,date_key,date,year,month,day,week,quarter,day_in_week,month_name,day_name,Movie_Key,Title,Rating,Genre,PromoCode_Key,PromoCode,Theater_Key,Theater_Name,Theater_ParentGroup,Country,State,City,ZipCode
1,1,96,3,2,,15,2,,2,,1,"Eugenia Simon","1593 Proin Av.",Timaru,71686,"South Island",US,96,2019-04-06,2019,4,6,14,2,7,April,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
2,2,262,3,1,,15,2,,2,,2,"Daryl Petty","121-3812 Faucibus. Rd.",Leominster,65925,HE,US,262,2019-09-19,2019,9,19,38,3,5,September,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
3,3,64,3,1,,15,2,,2,,3,"Deborah Tran","5166 In, Av.",Amstelveen,64459,"Noord Holland",US,64,2019-03-05,2019,3,5,10,1,3,March,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
4,4,168,3,3,,15,2,10.0,2,,4,"Macy Acevedo","250 Sem Street",Minna,88009,Niger,US,168,2019-06-17,2019,6,17,25,2,2,June,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
5,5,11,3,1,,15,2,,2,,5,"Tatyana Kelley","196-2531 Pellentesque, St.",Burnie,48560,TAS,US,11,2019-01-11,2019,1,11,2,1,6,January,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
6,6,189,3,2,,15,2,,2,,6,"Jason Hughes","476-7443 In Road","San RamÃ³n",82828,RM,US,189,2019-07-08,2019,7,8,28,3,2,July,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
7,7,271,3,3,,15,2,,2,,7,"Guinevere Cherry","5452 Amet, St.",Vienna,17796,Wie,US,271,2019-09-28,2019,9,28,39,3,7,September,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
8,8,148,3,1,,15,2,,2,,8,"Risa Downs","3846 Morbi St.",Flushing,81127,Zeeland,US,148,2019-05-28,2019,5,28,22,2,3,May,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
9,9,247,3,2,,15,2,,2,,9,"Aretha Carr","Ap #661-2419 Consectetuer Av.","Thunder Bay",54105,ON,US,247,2019-09-04,2019,9,4,36,3,4,September,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
10,10,149,3,2,,15,2,,2,,10,"Hollee Alvarez","457-3460 Lorem, Rd.","Port Augusta",77514,"South Australia",US,149,2019-05-29,2019,5,29,22,2,4,May,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
11,11,4,3,3,,15,2,,2,,11,"Maxine Delgado","6567 Diam Avenue",Stockholm,79867,"Stockholms lÃ¤n",US,4,2019-01-04,2019,1,4,1,1,6,January,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
12,12,211,3,3,,15,2,,2,,12,"Rooney Finley","P.O. Box 230, 7363 Montes,  Av.",Courbevoie,17091,IL,US,211,2019-07-30,2019,7,30,31,3,3,July,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
13,13,83,3,1,,15,2,,2,,13,"Taylor Mcfadden","944-7585 Eros. Av.",Schoonaarde,95612,Oost-Vlaanderen,US,83,2019-03-24,2019,3,24,13,1,1,March,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
14,14,101,3,3,,15,2,,2,,14,"Evelyn Perry","Ap #598-3295 Nec Street",Slupsk,86100,Pomorskie,US,101,2019-04-11,2019,4,11,15,2,5,April,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
15,15,256,3,1,,15,2,,2,,15,"Kaseem Long","Ap #808-8539 Ornare Rd.","Bridge of Allan",61201,ST,US,256,2019-09-13,2019,9,13,37,3,6,September,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
16,16,15,3,2,,15,2,,2,,16,"Lucian Austin","P.O. Box 473, 7668 Orci,  Rd.",Iseyin,22014,OY,US,15,2019-01-15,2019,1,15,3,1,3,January,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
17,17,264,3,1,,15,2,10.0,2,,17,"Ryder Hampton","P.O. Box 499, 7566 Adipiscing Avenue","Santa Marina",46342,Campania,US,264,2019-09-21,2019,9,21,38,3,7,September,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
18,18,318,3,3,,15,2,,2,,18,"Althea Andrews","P.O. Box 489, 4205 Est Avenue",Dijon,85950,BO,US,318,2019-11-14,2019,11,14,46,4,5,November,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
19,19,156,3,2,,15,2,,2,,19,"Jeremy Spencer","Ap #565-3300 Curabitur St.",Patna,30899,BR,US,156,2019-06-05,2019,6,5,23,2,4,June,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
20,20,146,3,3,,15,2,,2,,20,"Yoshio Butler","Ap #920-1984 Rhoncus. Avenue",Vienna,85676,Wie,US,146,2019-05-26,2019,5,26,22,2,1,May,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,3,"Ullamcorper Magna Incorporated",Century,US,LX,Bastogne,25959
21,21,260,3,1,,15,2,,2,,21,"Jamal Taylor","8157 Primis Rd.",Karapinar,87885,Kon,US,260,2019-09-17,2019,9,17,38,3,3,September,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,1,"Curabitur Ltd",Century,US,ON,Whitby,81324
22,22,221,3,2,,15,2,,2,,22,"Alden Payne","862-837 Eu Rd.","Stalowa Wola",77328,Podkarpackie,US,221,2019-08-09,2019,8,9,32,3,6,August,Tuesday,3,"Morbi neque",1,Action,NULL,NULL,2,"Velit Pellentesque Ultricies LLP",Century,US,MI,Flint,40101
